,Skewness,Kurtosis
file_size,54.60284588590443,3941.4109204843894
title_chars,2.2642715467720915,10.686290825211117
encrypted,15.057179615771954,224.71865798161852
metadata_size,0.9864705843656741,4.908143566341628
page_count,17.144545384748366,603.0567783808895
valid_pdf_header,-0.45785588605280686,-1.7903679876067988
image_count,24.428719467460006,1029.5197351269062
text_length,43.81699702676302,3500.2427882446227
object_count,38.48944523702944,1501.4710513870793
font_object_count,89.53272810858644,10632.68052340661
stream_count,34.817730025806824,2056.671408414514
endstream_count,34.822538426489416,2057.121434937272
average_stream_size,16.693323792399678,422.87719512080554
entropy_of_streams,-0.3305317052006759,-1.759182282648778
name_obfuscations,52.33662602592976,3171.3724813549097
total_filters,53.97801716920818,4660.435975369453
nested_filter_objects,102.19171152207262,12394.143728734587
objstm_count,5.787337140075667,50.09041081619657
js_count,89.1835500133854,9763.417007621278
javascript_count,86.44068878901936,9363.717415469315
uri_count,117.01084521622735,15106.453335087475
uses_nonstandard_port,14.967170382350771,222.016189254318
action_count,96.6504810160331,11293.28526610688
aa_count,38.27433221524914,1665.2759257242942
openaction_count,4.0949172187440235,35.84609687866797
launch_count,135.93640646454395,18739.190948096275
acroform_count,2.8332084235733386,20.991010721494412
xfa_count,4.786582595192006,30.682703875887213
colors_count,54.40834395900286,3511.360610209048
richmedia_count,65.9948162608437,4744.906107232648
has_multiple_behavioral_keywords_in_one_object,90.45198019496108,9979.57419320149
used_ocr,1.693216295126752,0.8669814220827634
title_entropy,-0.807887713882719,-0.49121546924198256
